0;0;0;0;land;false;unknown;0
1;252;16;236;land;false;forest;1
2;216;246;168;land;false;urban;1
3;234;221;243;land;true;forest;1
4;176;185;149;land;false;urban;1
5;68;251;228;land;true;forest;1
6;91;236;194;land;false;forest;1
7;149;199;191;land;false;forest;1
8;252;129;141;land;false;forest;1
9;183;214;241;land;false;mountain;1
10;186;187;226;land;true;forest;1
11;185;155;249;land;false;forest;1
12;248;172;215;land;true;plains;1
13;250;62;200;land;true;forest;1
14;204;224;85;land;false;mountain;1
15;153;136;239;land;false;hills;1
16;240;172;252;land;true;forest;1
17;211;185;181;land;true;plains;1
18;166;155;180;land;false;forest;1
19;208;239;107;land;true;jungle;1
20;222;83;246;land;false;forest;1
21;208;222;132;land;false;marsh;1
22;246;187;204;land;false;desert;1
23;198;235;167;land;false;mountain;1
24;206;63;239;land;true;plains;1
25;212;125;194;land;true;desert;1
26;75;226;232;land;true;forest;1
27;251;219;173;land;false;desert;1
28;234;122;218;land;false;forest;1
29;235;196;166;land;true;forest;1
30;96;245;171;land;false;forest;1
31;156;187;186;land;false;plains;1
32;173;248;96;land;false;mountain;1
33;244;186;247;land;false;desert;1
34;227;211;119;land;false;plains;1
35;173;228;132;land;true;plains;1
36;122;228;213;land;true;forest;1
37;192;195;137;land;false;jungle;1
38;238;153;111;land;false;forest;1
39;245;200;191;land;false;plains;1
40;136;205;175;land;false;forest;1
41;88;216;249;land;true;plains;1
42;235;169;175;land;true;plains;1
43;166;155;207;land;false;mountain;1
44;196;160;215;land;true;forest;1
45;125;233;234;land;true;plains;1
46;170;140;229;land;false;plains;1
47;238;211;91;land;true;plains;1
48;213;210;156;land;true;plains;1
49;135;242;197;land;false;forest;1
50;215;131;223;land;true;forest;1
51;234;229;253;land;false;mountain;1
52;184;236;227;land;false;mountain;1
53;78;246;198;land;false;mountain;1
54;240;235;142;land;true;hills;1
55;220;203;200;land;false;desert;1
56;243;193;200;land;false;forest;1
57;89;252;249;land;true;urban;1
58;248;230;82;land;true;plains;1
59;136;218;231;land;false;forest;1
60;250;81;240;land;true;plains;1
61;234;247;78;land;true;urban;1
62;190;201;140;land;false;mountain;1
63;236;155;148;land;false;mountain;1
64;100;250;226;land;false;mountain;1
65;204;232;125;land;true;marsh;1
66;162;250;159;land;false;mountain;1
67;231;120;248;land;false;forest;1
68;223;224;57;land;false;forest;1
69;217;247;226;land;true;plains;1
70;174;210;171;land;false;urban;1
71;214;187;199;land;false;desert;1
72;246;84;243;land;false;plains;1
73;243;222;73;land;false;mountain;1
74;219;140;241;land;false;plains;1
75;244;98;245;land;false;plains;1
76;243;133;125;land;true;jungle;1
77;204;191;119;land;true;plains;1
78;208;231;147;land;false;hills;1
79;144;221;235;land;false;urban;1
80;236;233;141;land;false;mountain;1
81;219;190;192;land;false;plains;1
82;155;232;210;land;true;jungle;1
83;253;58;246;land;false;plains;1
84;120;197;227;land;false;plains;1
85;106;229;186;land;true;marsh;1
86;135;238;237;land;true;urban;1
87;207;192;163;land;true;forest;1
88;227;190;156;land;false;forest;1
89;214;99;236;land;true;forest;1
90;196;173;163;land;false;urban;1
91;154;251;164;land;false;plains;1
92;121;248;249;land;true;forest;1
93;217;232;116;land;false;forest;1
94;199;226;124;land;false;mountain;1
95;149;180;236;land;false;forest;1
96;207;173;213;land;false;forest;1
97;185;224;153;land;false;forest;1
98;161;229;179;land;true;forest;1
